24
NASA/GSFC/SHADOZ Archive         : http://croc.gsfc.nasa.gov/shadoz
SHADOZ Version                   : 05.1 Reprocessed
SHADOZ format data created       : 14 March, 2016
STATION                          : San Pedro, San Jose, Costa Rica
SHADOZ Principal Investigator    : Anne M. Thompson (NASA/GSFC, USA)
Station Principal Investigator(s): Holger Voemel (NCAR EOL FL-1, USA), Henry Selkirk (USRA, USA)
Latitude (deg)                   : 9.93960
Longitude (deg)                  : -84.04230
Elevation (m)                    : 1240.00
Launch Date                      : 20160304
Launch Time (UT)                 : 13:08:13
Highest level reached (hPa)      : 7.91
Integrated O3 until EOF (DU)     : 126.60
Sonde/MLS Climatology(1988-2010) : 42.12
Sonde Instrument, SN             : 2Z29883
Radiosonde, SN                   : InterMet IMet1 RSB, 37353
KI Solution                      : 1%, 1/10 Buffer
Applied pump corrections         : 1ZAVG
Pump flow rate (sec/100ml)       : 29.09
Background current (uA)          : 0.020
Missing or bad values            : 9000
Time    Press       Alt      Temp      RH         O3        O3        O3      W Dir     W Spd      T Pump    I O3  GPS lat   GPS lon   GPS alt
sec     hPa         km       C         %          mPa       ppmv      du      deg       m/s        C         uA        deg       deg        km
     0   878.600     1.240    18.440    83.000     1.057     0.012     0.000   177.300     0.300    28.300     0.300     9.940   -84.042     1.226
     1   878.330     1.243    18.580    83.000     1.107     0.013     0.003   137.100     1.900    28.300     0.313     9.940   -84.042     1.227
     1   878.200     1.244    18.370    83.000     1.129     0.013     0.004   131.000     1.700    28.300     0.319     9.940   -84.042     1.231
     3   877.990     1.246    18.260    83.000     1.137     0.013     0.006   108.800     0.400    28.300     0.321     9.940   -84.042     1.233
     3   877.710     1.249    18.130    83.000     1.137     0.013     0.009    77.400     0.400    28.400     0.321     9.940   -84.042     1.233
     5   877.130     1.254    18.050    83.000     1.126     0.013     0.015   113.100     0.800    28.400     0.318     9.940   -84.042     1.236
     5   876.550     1.260    18.000    83.000     1.118     0.013     0.021   140.800     1.400    28.400     0.316     9.940   -84.042     1.240
     7   875.900     1.266    17.860    83.000     1.115     0.013     0.027    86.000     1.400    28.400     0.315     9.940   -84.042     1.248
     7   875.290     1.272    17.840    83.000     1.126     0.013     0.033    46.000     2.000    28.400     0.318     9.940   -84.042     1.252
     8   874.630     1.279    17.800    83.000     1.115     0.013     0.040    43.000     2.200    28.400     0.315     9.940   -84.042     1.259
     9   873.950     1.285    17.700    84.000     1.111     0.013     0.047    72.600     1.900    28.400     0.314     9.940   -84.042     1.268
    10   873.410     1.291    17.650    84.000     1.141     0.013     0.052   349.000     3.900    28.400     0.322     9.940   -84.042     1.277
    12   872.780     1.297    17.530    84.000     1.149     0.013     0.059   273.900     4.700    28.400     0.324     9.939   -84.042     1.288
    12   872.150     1.303    17.470    84.000     1.164     0.013     0.066    14.100     2.100    28.400     0.328     9.939   -84.042     1.293
    13   871.470     1.310    17.340    84.000     1.156     0.013     0.073    75.900     2.400    28.400     0.326     9.939   -84.042     1.293
    14   870.730     1.317    17.260    84.000     1.168     0.013     0.080    75.000     5.700    28.400     0.329     9.939   -84.042     1.299
    15   869.970     1.325    17.200    85.000     1.160     0.013     0.088    56.000     6.800    28.400     0.327     9.939   -84.042     1.306
    16   869.220     1.332    17.140    85.000     1.160     0.013     0.096    37.400     7.700    28.400     0.327     9.939   -84.043     1.314
    17   868.500     1.339    17.030    85.000     1.164     0.013     0.104    44.900     6.800    28.400     0.328     9.939   -84.043     1.324
    18   867.810     1.346    17.030    85.000     1.194     0.014     0.111    50.900     8.000    28.400     0.336     9.939   -84.043     1.331
    19   867.220     1.352    16.990    85.000     1.205     0.014     0.118    31.000     8.200    28.400     0.339     9.939   -84.043     1.339
    20   866.620     1.358    17.300    85.000     1.194     0.014     0.124     0.500     5.800    28.400     0.336     9.939   -84.043     1.346
    21   865.910     1.365    16.700    84.000     1.175     0.014     0.132    10.000     2.200    28.400     0.331     9.939   -84.043     1.358
    22   865.230     1.371    17.110    84.000     1.179     0.014     0.139   105.600     2.000    28.400     0.332     9.939   -84.043     1.364
    23   864.650     1.377    17.160    84.000     1.183     0.014     0.146    99.100     2.000    28.400     0.333     9.939   -84.043     1.364
    24   864.040     1.383    17.460    83.000     1.183     0.014     0.152   102.000     4.100    28.400     0.333     9.939   -84.043     1.370
    25   863.440     1.389    17.280    83.000     1.179     0.014     0.159   105.000     5.500    28.400     0.332     9.939   -84.043     1.376
    26   862.810     1.395    17.280    82.000     1.190     0.014     0.166    96.500     7.500    28.400     0.335     9.939   -84.043     1.382
    27   862.090     1.403    17.290    82.000     1.205     0.014     0.173    87.000     8.500    28.400     0.339     9.939   -84.043     1.388
    28   861.370     1.410    17.150    82.000     1.198     0.014     0.181    80.800     7.800    28.400     0.337     9.939   -84.043     1.393
    29   860.560     1.418    17.020    83.000     1.190     0.014     0.190    78.000     7.600    28.500     0.335     9.939   -84.043     1.400
    30   859.730     1.426    16.940    83.000     1.198     0.014     0.199    81.400    10.200    28.500     0.337     9.939   -84.043     1.411
    31   858.890     1.434    16.870    83.000     1.206     0.014     0.209    83.000    10.900    28.500     0.339     9.939   -84.043     1.426
    32   858.120     1.442    16.620    84.000     1.198     0.014     0.217    82.900     4.400    28.500     0.337     9.939   -84.043     1.433
    33   857.270     1.450    16.590    84.000     1.191     0.014     0.226    80.000     3.800    28.500     0.335     9.939   -84.043     1.433
    35   856.350     1.460    16.620    85.000     1.194     0.014     0.237    87.800     8.500    28.500     0.336     9.939   -84.043     1.444
    36   855.530     1.468    16.530    85.000     1.172     0.014     0.246   100.000     8.800    28.500     0.330     9.939   -84.043     1.452
    36   854.730     1.476    16.490    84.000     1.183     0.014     0.254   102.800     7.500    28.500     0.333     9.939   -84.044     1.463
    37   854.070     1.482    16.440    85.000     1.191     0.014     0.261    95.000     7.700    28.500     0.335     9.939   -84.044     1.470
    39   853.410     1.489    16.320    85.000     1.187     0.014     0.269    87.000    11.000    28.500     0.334     9.939   -84.044     1.477
    39   852.820     1.495    16.300    84.000     1.198     0.014     0.275    81.700    11.900    28.500     0.337     9.939   -84.044     1.483
    41   852.150     1.502    16.390    84.000     1.210     0.014     0.283    75.600    13.100    28.500     0.340     9.939   -84.044     1.490
    41   851.500     1.508    16.280    84.000     1.217     0.014     0.290    68.300    10.500    28.500     0.342     9.939   -84.044     1.501
    43   850.800     1.515    16.260    85.000     1.213     0.014     0.298    70.100     1.900    28.500     0.341     9.939   -84.044     1.507
    43   850.050     1.523    16.100    85.000     1.194     0.014     0.306   106.000     1.100    28.500     0.336     9.939   -84.044     1.507
    44   849.350     1.530    16.080    86.000     1.198     0.014     0.314   121.000     4.400    28.500     0.337     9.939   -84.044     1.514
    45   848.570     1.538    16.120    84.000     1.213     0.014     0.323   122.900     8.000    28.500     0.341     9.939   -84.044     1.522
    46   847.820     1.545    16.230    84.000     1.194     0.014     0.331   106.600     8.600    28.500     0.336     9.939   -84.044     1.530
    48   847.110     1.552    15.980    86.000     1.183     0.014     0.339    96.400     9.000    28.500     0.333     9.939   -84.044     1.538
    48   846.450     1.559    15.860    86.000     1.187     0.014     0.346    98.900     9.200    28.500     0.334     9.939   -84.044     1.544
    49   845.810     1.565    15.720    86.000     1.198     0.014     0.353   115.500     8.600    28.500     0.337     9.939   -84.044     1.552
    50   845.170     1.572    15.700    86.000     1.206     0.014     0.361   123.000    15.300    28.500     0.339     9.939   -84.045     1.558
    51   844.600     1.578    15.660    86.000     1.206     0.014     0.367   117.000    17.100    28.500     0.339     9.939   -84.045     1.568
    52   843.950     1.584    15.710    86.000     1.202     0.014     0.374   107.600     5.400    28.500     0.338     9.939   -84.045     1.574
    53   843.320     1.590    15.790    85.000     1.191     0.014     0.381   101.000     4.800    28.500     0.335     9.939   -84.045     1.574
    54   842.630     1.597    15.940    85.000     1.198     0.014     0.389    98.000    10.000    28.500     0.337     9.939   -84.045     1.580
    55   842.030     1.603    16.090    84.000     1.210     0.014     0.396    98.200    10.700    28.500     0.340     9.939   -84.045     1.587
    56   841.440     1.609    16.230    84.000     1.217     0.014     0.403   103.200    11.000    28.500     0.342     9.939   -84.045     1.594
    58   840.850     1.615    16.290    83.000     1.217     0.014     0.409   106.800    12.800    28.500     0.342     9.939   -84.045     1.600
    58   840.320     1.621    16.310    83.000     1.232     0.015     0.416   103.400    14.800    28.500     0.346     9.939   -84.045     1.606
    59   839.820     1.626    16.250    83.000     1.244     0.015     0.421    91.100    12.200    28.600     0.349     9.939   -84.045     1.611
    61   839.360     1.630    16.110    83.000     1.259     0.015     0.427    73.100    12.800    28.600     0.353     9.939   -84.046     1.619
    61   838.880     1.635    16.110    83.000     1.278     0.015     0.432    70.400    10.200    28.600     0.358     9.939   -84.046     1.625
    63   838.410     1.640    16.050    83.000     1.286     0.015     0.438    84.200     2.700    28.600     0.360     9.939   -84.046     1.629
    63   837.920     1.645    15.980    83.000     1.289     0.015     0.444   101.300     2.500    28.600     0.361     9.939   -84.046     1.630
    65   837.440     1.650    16.130    82.000     1.293     0.015     0.450   109.000     4.900    28.600     0.362     9.939   -84.046     1.634
    65   836.940     1.655    16.280    82.000     1.297     0.015     0.456   121.000     9.600    28.600     0.363     9.939   -84.046     1.640
    66   836.440     1.660    16.280    82.000     1.312     0.016     0.462   126.600     8.500    28.600     0.367     9.939   -84.046     1.646
    67   835.930     1.665    16.430    82.000     1.323     0.016     0.469   124.500     8.800    28.600     0.370     9.939   -84.046     1.650
    68   835.340     1.671    16.640    82.000     1.323     0.016     0.476   116.700     9.500    28.600     0.370     9.940   -84.046     1.655
    69   834.730     1.678    16.960    82.000     1.331     0.016     0.484   109.000     9.500    28.600     0.372     9.940   -84.046     1.660
    70   834.110     1.684    17.690    81.000     1.346     0.016     0.491    94.500    14.400    28.600     0.376     9.940   -84.046     1.667
    71   833.490     1.690    17.890    80.000     1.354     0.016     0.499    86.700    13.500    28.600     0.378     9.940   -84.046     1.679
    72   832.800     1.698    17.790    80.000     1.361     0.016     0.508    85.800     3.800    28.600     0.380     9.940   -84.046     1.686
    73   832.160     1.704    17.790    79.000     1.376     0.016     0.517    99.000     2.400    28.600     0.384     9.940   -84.046     1.686
    75   831.590     1.710    17.770    79.000     1.395     0.017     0.524   117.600     5.500    28.600     0.389     9.940   -84.046     1.693
    75   830.990     1.716    17.710    79.000     1.407     0.017     0.532   140.000     6.400    28.600     0.392     9.940   -84.046     1.699
    76   830.390     1.722    17.600    78.000     1.407     0.017     0.540   139.000     7.800    28.600     0.392     9.940   -84.047     1.705
    77   829.920     1.727    17.570    78.000     1.437     0.017     0.546   119.300    10.300    28.600     0.400     9.940   -84.047     1.711
    78   829.380     1.733    17.560    78.000     1.456     0.018     0.554   104.000    12.500    28.600     0.405     9.940   -84.047     1.718
    79   828.810     1.739    17.510    78.000     1.482     0.018     0.562    93.000    14.400    28.600     0.412     9.940   -84.047     1.723
    81   828.200     1.745    17.420    77.000     1.486     0.018     0.570    87.000    20.400    28.600     0.413     9.940   -84.047     1.728
    81   827.570     1.752    17.350    77.000     1.467     0.018     0.579    87.300    19.500    28.600     0.408     9.940   -84.047     1.738
    82   826.990     1.758    17.240    77.000     1.452     0.018     0.587    92.400     5.100    28.600     0.404     9.940   -84.047     1.745
    84   826.450     1.763    17.210    77.000     1.471     0.018     0.595   101.300     4.000    28.600     0.409     9.940   -84.047     1.747
    85   825.930     1.769    17.210    77.000     1.509     0.018     0.602   108.700     6.200    28.600     0.419     9.940   -84.047     1.753
    85   825.390     1.774    17.250    76.000     1.531     0.019     0.610   118.000     6.300    28.600     0.425     9.940   -84.047     1.758
    86   824.820     1.780    17.450    76.000     1.524     0.019     0.618   131.000     6.000    28.600     0.423     9.940   -84.047     1.763
    88   824.320     1.785    17.400    76.000     1.520     0.018     0.626   126.300     8.300    28.600     0.422     9.940   -84.047     1.769
    88   823.840     1.790    17.440    76.000     1.543     0.019     0.633   117.800    11.000    28.600     0.428     9.940   -84.048     1.775
    90   823.290     1.796    17.390    76.000     1.547     0.019     0.641   112.600    13.500    28.600     0.429     9.940   -84.048     1.781
    90   822.750     1.802    17.360    76.000     1.562     0.019     0.649   107.900    21.200    28.600     0.433     9.940   -84.048     1.786
    92   822.200     1.807    17.210    76.000     1.562     0.019     0.657   105.900    20.500    28.600     0.433     9.940   -84.048     1.796
    92   821.630     1.813    17.240    75.000     1.547     0.019     0.666   103.800     7.000    28.600     0.429     9.940   -84.048     1.803
    94   821.070     1.819    17.220    75.000     1.558     0.019     0.674    97.700     6.900    28.600     0.432     9.940   -84.048     1.803
    94   820.580     1.824    17.270    75.000     1.577     0.019     0.682    93.600    13.900    28.700     0.437     9.940   -84.048     1.809
    95   820.130     1.829    17.250    75.000     1.577     0.019     0.688    86.000    11.700    28.700     0.437     9.940   -84.048     1.814
    97   819.640     1.834    17.260    75.000     1.592     0.019     0.696    81.600    10.200    28.700     0.441     9.940   -84.049     1.820
    97   819.320     1.837    17.330    75.000     1.592     0.019     0.701    84.000     8.700    28.800     0.441     9.940   -84.049     1.824
    98   818.940     1.841    17.290    74.000     1.596     0.020     0.707   101.700     6.700    28.800     0.442     9.940   -84.049     1.829
    99   818.510     1.846    17.270    74.000     1.608     0.020     0.713   129.800     7.500    28.800     0.445     9.940   -84.049     1.833
   100   818.070     1.850    17.130    74.000     1.604     0.020     0.720   143.800    14.500    28.800     0.444     9.940   -84.049     1.838
   101   817.610     1.855    17.090    74.000     1.596     0.020     0.727   139.300    16.700    28.800     0.442     9.940   -84.049     1.847
   102   817.040     1.861    17.060    74.000     1.596     0.020     0.736   129.000     5.500    28.800     0.442     9.940   -84.049     1.853
   103   816.510     1.867    17.020    74.000     1.585     0.019     0.744   121.800     6.500    28.800     0.439     9.940   -84.049     1.853
   104   815.990     1.872    16.900    74.000     1.585     0.019     0.752   118.800    12.700    28.800     0.439     9.940   -84.049     1.859
   105   815.480     1.878    16.890    74.000     1.600     0.020     0.760   114.000    14.100    28.800     0.443     9.941   -84.049     1.865
   106   815.020     1.882    16.860    74.000     1.581     0.019     0.767   114.600    14.900    28.800     0.438     9.941   -84.049     1.871
   107   814.550     1.887    16.820    74.000     1.566     0.019     0.774   117.300    13.100    28.800     0.434     9.941   -84.049     1.877
   108   814.040     1.893    16.810    74.000     1.570     0.019     0.782   124.000    12.500    28.800     0.435     9.941   -84.050     1.884
   109   813.550     1.898    16.730    74.000     1.577     0.019     0.789   137.400    10.500    28.800     0.437     9.941   -84.050     1.890
   110   813.020     1.903    16.690    74.000     1.585     0.020     0.798   146.000    15.900    28.800     0.439     9.941   -84.050     1.895
   111   812.470     1.909    16.660    74.000     1.570     0.019     0.806   143.700    14.300    28.800     0.435     9.941   -84.050     1.905
   112   811.800     1.916    16.590    75.000     1.555     0.019     0.816   136.300     5.600    28.800     0.431     9.941   -84.050     1.911
   113   811.290     1.921    16.580    75.000     1.558     0.019     0.824   126.000     8.100    28.800     0.432     9.941   -84.050     1.911
   114   810.720     1.927    16.540    75.000     1.562     0.019     0.833   125.800    12.500    28.800     0.433     9.941   -84.050     1.917
   115   810.130     1.934    16.500    75.000     1.532     0.019     0.841   125.000    14.300    28.800     0.425     9.941   -84.050     1.923
   116   809.530     1.940    16.420    75.000     1.543     0.019     0.850   125.200    10.600    28.800     0.428     9.941   -84.050     1.929
   117   809.140     1.944    16.400    75.000     1.555     0.019     0.856   126.000     7.100    28.800     0.431     9.941   -84.050     1.934
   118   808.660     1.949    16.430    75.000     1.574     0.020     0.864   124.300     5.000    28.800     0.436     9.941   -84.050     1.938
   119   808.160     1.955    16.390    75.000     1.536     0.019     0.871   130.800     7.100    28.800     0.426     9.941   -84.050     1.944
   120   807.640     1.960    16.380    75.000     1.521     0.019     0.879   135.000     8.400    28.800     0.422     9.941   -84.050     1.948
   121   807.130     1.965    16.270    75.000     1.521     0.019     0.887   140.100    14.500    28.800     0.422     9.941   -84.050     1.960
   122   806.620     1.971    16.240    75.000     1.509     0.019     0.894   141.000     5.900    28.800     0.419     9.942   -84.050     1.965
   123   806.090     1.976    16.300    75.000     1.513     0.019     0.902   145.000     4.600    28.800     0.420     9.942   -84.050     1.965
   124   805.560     1.982    16.200    75.000     1.524     0.019     0.910   144.700     6.600    28.800     0.423     9.942   -84.050     1.971
   125   804.970     1.988    16.160    75.000     1.540     0.019     0.919   118.500     3.000    28.800     0.427     9.942   -84.051     1.977
   126   804.390     1.994    16.130    75.000     1.513     0.019     0.927    68.000     3.600    28.800     0.420     9.942   -84.051     1.982
   127   803.840     2.000    16.040    75.000     1.464     0.018     0.935    79.600     5.100    28.800     0.407     9.942   -84.051     1.988
   128   803.320     2.006    16.100    75.000     1.468     0.018     0.943   111.200     7.200    28.800     0.408     9.942   -84.051     1.996
   129   802.800     2.011    16.090    75.000     1.468     0.018     0.950   135.000     9.500    28.800     0.408     9.942   -84.051     2.002
   130   802.310     2.016    16.000    75.000     1.468     0.018     0.958   144.700    17.800    28.800     0.408     9.942   -84.051     2.007
   131   801.810     2.022    15.970    75.000     1.438     0.018     0.965   138.300    15.800    28.900     0.400     9.942   -84.051     2.017
   132   801.270     2.027    15.940    75.000     1.419     0.018     0.972   124.000     4.500    28.900     0.395     9.942   -84.051     2.024
   133   800.750     2.033    15.830    75.000     1.434     0.018     0.980    96.500     4.800    28.900     0.399     9.942   -84.051     2.024
   134   800.280     2.038    15.810    76.000     1.430     0.018     0.986    86.500    10.200    28.900     0.398     9.942   -84.051     2.029
   135   799.800     2.043    15.820    76.000     1.393     0.017     0.993    77.200    10.100    28.900     0.388     9.942   -84.051     2.033
   136   799.320     2.048    15.770    76.000     1.370     0.017     1.000    80.000     8.200    28.900     0.382     9.942   -84.051     2.039
   137   798.840     2.053    15.730    76.000     1.370     0.017     1.006   105.100     7.800    28.900     0.382     9.942   -84.051     2.045
   138   798.360     2.058    15.690    76.000     1.358     0.017     1.012   138.800     7.900    28.900     0.379     9.942   -84.051     2.051
   139   797.920     2.063    15.710    76.000     1.362     0.017     1.018   149.000     9.400    28.900     0.380     9.942   -84.051     2.054
   140   797.380     2.069    15.590    76.000     1.366     0.017     1.026   124.700    16.700    28.900     0.381     9.942   -84.051     2.061
   141   796.850     2.074    15.550    76.000     1.355     0.017     1.033   108.900    16.100    28.900     0.378     9.942   -84.052     2.069
   142   796.270     2.081    15.490    76.000     1.324     0.017     1.041    90.700     5.300    28.900     0.370     9.942   -84.052     2.076
   143   795.680     2.087    15.450    76.000     1.302     0.016     1.048    85.400     4.300    28.900     0.364     9.942   -84.052     2.076
   144   795.220     2.092    15.470    76.000     1.305     0.016     1.054    94.400     7.800    28.900     0.365     9.942   -84.052     2.083
   145   794.610     2.099    15.470    76.000     1.305     0.016     1.062   129.500     4.300    28.900     0.365     9.942   -84.052     2.089
   147   794.030     2.105    15.360    76.000     1.279     0.016     1.070   165.000     6.200    28.900     0.358     9.942   -84.052     2.096
   148   793.480     2.111    15.360    77.000     1.245     0.016     1.076   159.400     6.700    28.900     0.349     9.942   -84.052     2.102
   148   792.960     2.116    15.290    77.000     1.234     0.016     1.083   151.000     6.000    28.900     0.346     9.942   -84.052     2.106
   149   792.470     2.121    15.240    77.000     1.234     0.016     1.089   106.000     6.200    28.900     0.346     9.942   -84.052     2.113
   150   791.980     2.127    15.140    77.000     1.256     0.016     1.095    66.400    13.700    28.900     0.352     9.942   -84.052     2.120
   151   791.410     2.133    15.130    77.000     1.237     0.016     1.102    64.900    13.200    28.900     0.347     9.942   -84.052     2.128
   152   790.800     2.139    15.070    77.000     1.222     0.015     1.110    68.400     5.300    28.900     0.343     9.942   -84.052     2.133
   153   790.170     2.146    15.040    77.000     1.211     0.015     1.117    77.700     4.700    28.900     0.340     9.942   -84.052     2.134
   154   789.590     2.152    14.920    77.000     1.196     0.015     1.124    81.200     7.400    28.900     0.336     9.942   -84.052     2.140
   156   789.090     2.158    14.950    78.000     1.184     0.015     1.130    84.300     7.300    28.900     0.333     9.942   -84.052     2.148
   156   788.540     2.164    14.850    78.000     1.177     0.015     1.137    74.100     5.600    28.900     0.331     9.942   -84.052     2.155
   157   788.050     2.169    14.800    78.000     1.162     0.015     1.142    45.000     3.200    28.900     0.327     9.942   -84.052     2.161
   158   787.610     2.174    14.700    78.000     1.143     0.014     1.147    17.300     3.900    28.900     0.322     9.942   -84.052     2.166
   159   787.150     2.179    14.760    78.000     1.158     0.015     1.153    22.000     5.800    28.900     0.326     9.942   -84.053     2.173
   160   786.610     2.184    14.760    78.000     1.158     0.015     1.159    38.300    13.000    28.900     0.326     9.942   -84.053     2.179
   161   786.040     2.191    14.760    78.000     1.151     0.015     1.166    43.100    13.400    29.000     0.324     9.942   -84.053     2.187
   162   785.520     2.196    14.550    78.000     1.147     0.015     1.172    45.000     4.700    29.000     0.323     9.942   -84.053     2.193
   163   784.770     2.204    14.490    78.000     1.139     0.014     1.180    51.000     4.400    29.000     0.321     9.942   -84.053     2.193
   164   784.220     2.210    14.510    78.000     1.109     0.014     1.186    59.600     8.600    29.000     0.313     9.942   -84.053     2.199
   165   783.650     2.216    14.540    78.000     1.109     0.014     1.193    70.000     8.200    29.000     0.313     9.942   -84.053     2.206
   166   782.990     2.223    14.500    79.000     1.113     0.014     1.200    82.000     7.300    29.000     0.314     9.942   -84.053     2.212
   167   782.510     2.229    14.390    79.000     1.128     0.014     1.206   100.800     6.700    29.000     0.318     9.942   -84.053     2.217
   169   781.940     2.235    14.270    79.000     1.117     0.014     1.212   114.000     6.900    29.000     0.315     9.942   -84.053     2.223
   169   781.360     2.241    14.220    79.000     1.094     0.014     1.219   113.000     7.200    29.000     0.309     9.942   -84.053     2.228
   170   780.710     2.248    14.210    80.000     1.083     0.014     1.226    93.000     8.500    29.000     0.306     9.942   -84.053     2.237
   171   780.050     2.255    14.080    80.000     1.075     0.014     1.233    76.000     7.900    29.000     0.304     9.942   -84.053     2.251
   172   779.400     2.262    14.070    80.000     1.071     0.014     1.240    62.000     3.000    29.000     0.303     9.942   -84.053     2.259
   173   778.740     2.270    13.960    80.000     1.060     0.014     1.247    53.100     3.300    29.000     0.300     9.942   -84.053     2.259
   174   778.150     2.276    13.930    81.000     1.049     0.014     1.253    55.900     4.800    29.000     0.297     9.942   -84.053     2.267
   175   777.610     2.282    13.900    81.000     1.041     0.013     1.259    65.000     4.000    29.000     0.295     9.942   -84.053     2.274
   176   776.990     2.289    13.880    81.000     1.060     0.014     1.266    94.500     3.800    29.000     0.300     9.942   -84.053     2.281
   178   776.410     2.295    13.770    81.000     1.067     0.014     1.272   109.000     4.900    29.000     0.302     9.942   -84.053     2.285
   178   775.870     2.301    13.750    81.000     1.049     0.014     1.278   113.000     6.500    29.000     0.297     9.942   -84.053     2.290
   179   775.380     2.306    13.720    81.000     1.014     0.013     1.283    99.800     3.600    29.000     0.288     9.942   -84.054     2.296
   180   774.970     2.311    13.670    81.000     1.014     0.013     1.287    39.800     5.900    29.000     0.288     9.942   -84.054     2.303
   181   774.490     2.316    13.660    81.000     1.033     0.013     1.292    21.100     5.800    29.000     0.293     9.942   -84.054     2.312
   182   774.060     2.320    13.690    81.000     1.037     0.013     1.297     0.000     1.900    29.000     0.294     9.942   -84.054     2.316
   183   773.570     2.326    13.640    81.000     1.037     0.013     1.302    25.000     0.900    29.000     0.294     9.942   -84.054     2.316
   184   773.040     2.332    13.550    81.000     1.033     0.013     1.308    88.300     2.100    29.000     0.293     9.942   -84.054     2.321
   185   772.560     2.337    13.490    81.000     1.033     0.013     1.313   119.800     5.000    29.000     0.293     9.942   -84.054     2.326
   186   771.990     2.343    13.360    81.000     1.045     0.014     1.319   113.000     6.600    29.000     0.296     9.942   -84.054     2.332
   187   771.420     2.349    13.310    82.000     1.030     0.013     1.325    97.600     8.100    29.000     0.292     9.942   -84.054     2.338
   188   770.940     2.355    13.290    82.000     1.014     0.013     1.330    81.200     9.100    29.000     0.288     9.942   -84.054     2.343
   189   770.500     2.359    13.260    82.000     1.011     0.013     1.334    58.300    11.300    29.000     0.287     9.942   -84.054     2.350
   190   770.060     2.364    13.250    82.000     1.022     0.013     1.339    34.000    16.000    29.000     0.290     9.942   -84.054     2.355
   191   769.540     2.370    13.120    82.000     1.033     0.013     1.344    25.000    15.800    29.000     0.293     9.942   -84.054     2.366
   192   768.980     2.376    13.170    82.000     1.022     0.013     1.350    21.000     5.800    29.100     0.290     9.941   -84.054     2.372
   193   768.370     2.383    13.060    82.000     1.000     0.013     1.357    17.000     3.800    29.100     0.284     9.941   -84.054     2.372
   194   767.870     2.388    12.960    83.000     0.988     0.013     1.362    18.900     6.000    29.100     0.281     9.941   -84.054     2.380
   195   767.370     2.394    12.990    83.000     1.007     0.013     1.367    37.300     3.800    29.100     0.286     9.941   -84.054     2.387
   196   766.790     2.400    13.010    82.000     1.015     0.013     1.373    68.700     2.800    29.100     0.288     9.941   -84.054     2.395
   197   766.260     2.406    12.990    83.000     1.003     0.013     1.378    84.900     2.700    29.100     0.285     9.941   -84.054     2.399
   198   765.570     2.414    12.960    83.000     0.992     0.013     1.386    78.100     4.400    29.100     0.282     9.941   -84.054     2.406
   199   765.080     2.419    12.870    83.000     0.996     0.013     1.391    64.000     5.300    29.100     0.283     9.941   -84.054     2.411
   200   764.450     2.426    12.860    83.000     1.000     0.013     1.397    39.000    13.900    29.100     0.284     9.941   -84.054     2.418
   201   763.970     2.431    12.840    83.000     1.019     0.013     1.402    30.500    16.400    29.100     0.289     9.941   -84.054     2.429
   202   763.540     2.436    12.800    83.000     1.030     0.014     1.407    22.200     5.900    29.100     0.292     9.941   -84.054     2.433
   204   763.130     2.440    12.820    83.000     1.034     0.014     1.411    25.800     7.300    29.100     0.293     9.941   -84.054     2.435
   204   762.550     2.447    12.740    83.000     1.034     0.014     1.417    24.300    10.300    29.100     0.293     9.941   -84.055     2.438
   205   762.060     2.452    12.720    83.000     1.038     0.014     1.422    28.500     8.700    29.100     0.294     9.941   -84.055     2.443
   206   761.540     2.458    12.880    83.000     1.045     0.014     1.428    38.000     6.000    29.100     0.296     9.941   -84.055     2.450
   207   760.990     2.464    12.850    83.000     1.038     0.014     1.434    58.000     5.500    29.100     0.294     9.941   -84.055     2.456
   208   760.510     2.469    12.820    83.000     1.053     0.014     1.439    78.000     7.800    29.100     0.298     9.941   -84.055     2.465
   210   760.040     2.474    12.780    84.000     1.075     0.014     1.444    79.000    11.700    29.100     0.304     9.941   -84.055     2.471
   210   759.550     2.480    12.750    83.000     1.113     0.015     1.450    72.000    18.700    29.100     0.314     9.941   -84.055     2.475
   211   759.070     2.485    12.740    83.000     1.117     0.015     1.456    62.600    19.200    29.100     0.315     9.941   -84.055     2.485
   212   758.630     2.490    12.690    83.000     1.113     0.015     1.461    55.000     7.200    29.100     0.314     9.941   -84.055     2.490
   213   758.170     2.495    12.760    84.000     1.128     0.015     1.466    40.000     7.000    29.100     0.318     9.941   -84.055     2.490
   214   757.770     2.500    12.740    83.000     1.147     0.015     1.471    33.500    12.700    29.100     0.323     9.940   -84.055     2.495
   215   757.320     2.505    12.780    83.000     1.174     0.015     1.476    25.900    11.100    29.100     0.330     9.940   -84.055     2.500
   216   756.830     2.510    12.750    83.000     1.181     0.016     1.482    23.000    10.800    29.100     0.332     9.940   -84.055     2.504
   217   756.400     2.515    12.780    83.000     1.181     0.016     1.488    19.500     7.900    29.100     0.332     9.940   -84.055     2.509
   218   756.010     2.519    12.700    83.000     1.197     0.016     1.492    29.800     5.600    29.100     0.336     9.940   -84.055     2.514
   219   755.580     2.524    12.660    83.000     1.212     0.016     1.498    45.000     5.200    29.100     0.340     9.940   -84.055     2.519
   220   755.130     2.529    12.620    83.000     1.223     0.016     1.504    49.500     8.900    29.100     0.343     9.940   -84.055     2.525
   221   754.680     2.534    12.610    83.000     1.242     0.016     1.509    40.200     9.700    29.100     0.348     9.940   -84.056     2.533
