
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-02-18,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,MBI

#INSTRUMENT
Name,Model,Number
ECC,Z,Z29649

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-02-18,11:48:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
271.08,2,308.24,-0.98,303,,,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.025,0.015,29.1,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
859.3,1.45,-5.3,1.1,239,0,170,1083,23,21.6
858.3,1.46,-5.4,1.1,246,0,172,1092,23,21.6
857.1,1.46,-5.5,1.1,254,0,174,1102,23,21.6
855.9,1.47,-5.5,1.2,261,0,176,1114,23,21.6
854.7,1.47,-5.6,1.3,268,0,178,1125,23,21.6
853.7,1.47,-5.8,1.4,272,0,180,1134,23,21.6
852.6,1.47,-5.8,1.4,276,0,182,1144,23,21.6
851.4,1.47,-5.8,1.5,278,0,184,1155,23,21.6
850.2,1.48,-5.9,1.6,279,0,186,1166,23,21.6
848.7,1.48,-6.1,1.7,280,0,188,1180,23,21.6
847.2,1.48,-6.3,1.8,280,0,190,1194,24,21.6
845.9,1.48,-6.3,1.9,280,0,192,1205,24,21.6
844.9,1.48,-6.4,1.9,279,0,194,1215,24,21.6
843.8,1.48,-6.4,1.9,279,0,196,1225,24,21.6
842.8,1.49,-6.5,1.9,278,0,198,1234,24,21.6
841.9,1.49,-6.5,1.9,278,0,200,1243,24,21.6
840.9,1.50,-6.6,1.8,278,0,202,1253,24,21.6
839.7,1.50,-6.6,1.7,280,0,204,1263,24,21.6
838.4,1.50,-6.8,1.7,282,0,206,1275,25,21.6
837.0,1.50,-6.9,1.6,285,0,208,1288,25,21.6
835.8,1.49,-7.0,1.6,289,0,210,1300,26,21.6
834.7,1.48,-7.0,1.5,294,0,212,1310,26,21.6
833.5,1.48,-7.1,1.6,300,0,214,1321,26,21.6
832.2,1.47,-7.3,1.6,305,0,216,1333,27,21.6
831.1,1.47,-7.3,1.7,309,0,218,1344,26,21.6
830.2,1.47,-7.3,1.9,312,0,220,1352,26,21.6
829.3,1.47,-7.4,2.1,313,0,222,1360,26,21.6
828.5,1.46,-7.5,2.3,314,0,224,1368,26,21.6
827.6,1.46,-7.5,2.5,313,0,226,1376,25,21.6
826.9,1.46,-7.5,2.7,311,0,228,1383,25,21.6
826.2,1.46,-7.5,2.9,309,0,230,1390,25,21.6
825.3,1.46,-7.6,3.0,307,0,232,1398,25,21.6
824.5,1.46,-7.6,3.2,304,0,234,1405,25,21.6
823.7,1.46,-7.8,3.3,302,0,236,1413,25,21.6
822.9,1.46,-7.8,3.5,299,0,238,1420,25,21.6
822.1,1.46,-7.8,3.6,297,0,240,1428,25,21.6
821.3,1.47,-7.8,3.7,295,0,242,1436,25,21.6
820.4,1.47,-7.9,3.7,293,0,244,1444,25,21.6
819.3,1.47,-8.1,3.8,292,0,246,1454,25,21.6
818.3,1.47,-8.3,3.8,290,0,248,1465,25,21.6
817.1,1.48,-8.3,3.7,289,0,250,1476,25,21.6
816.0,1.48,-8.3,3.7,288,0,252,1486,25,21.6
815.1,1.48,-8.4,3.7,287,0,254,1495,26,21.6
