* SOFTWARE: JMA_SNDANA Ver.1.2
* Ground equipment: Meisei
* Sampling interval: 1 second
* Smoothing method: Median filter 9 samples
* Amount of cathode solution: 3.0ml
* Concentration of cathode solution: 0.5%KI + half buffer + half KBr
* Background current correction: Pressure dependent
* Pump efficiency: Individually determined for each ozone instrument
* Balloon weight: 2000g
* Tropopause: 269.8hPa

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-02-06,JMA,1.0,Head of Ozone Layer Monitoring Center

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,101,SYOWA,JPN,89532

#INSTRUMENT
Name,Model,Number
ECC,1Z,1Z24984

#LOCATION
Latitude,Longitude,Height
-69.01,39.58,22

#TIMESTAMP
UTCOffset,Date,Time
+03:00:00,2016-01-11,02:30:35

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
267.8,2,290.5,-0.950,276,0,0,Dobson,119

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS-06G(E),,0.02,28.58,Pressure_ib2,Pump,

#PUMP_CORRECTION
Pressure,Correction
1000,1.000
500,1.000
300,1.001
200,1.002
100,1.004
50,1.009
30,1.017
20,1.028
10,1.066
5,1.161
3,1.334

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
988.7,1.21,-0.1,2.8,150,2,0,18,69,26.7
987.5,1.25,-0.5,3.2,143,0,2,28,68,26.7
986.3,1.24,-0.7,3.6,136,0,4,38,67,26.7
985,1.25,-0.9,4,130,0,6,49,64,26.7
983.8,1.25,-0.5,4.4,123,0,8,59,62,26.7
982.6,1.25,0.3,4.8,116,0,10,69,62,26.7
981.2,1.26,0.4,4.7,113,0,12,79,61,26.7
980,1.26,0.4,4.5,111,0,14,89,61,26.7
978.8,1.26,0.4,4.1,109,0,16,99,61,26.7
977.6,1.26,0.5,3.7,107,0,18,109,59,26.7
976.3,1.26,0.4,3.3,104,0,20,119,59,26.7
975.2,1.26,0.4,3,112,0,22,129,58,26.7
974,1.26,0.4,2.9,128,0,24,139,58,26.7
972.8,1.26,0.6,2.6,140,0,26,148,57,26.8
971.6,1.26,0.5,2.7,135,0,28,158,57,26.8
970.5,1.26,0.5,3.3,141,0,30,167,57,26.7
969.4,1.26,0.5,3.3,149,0,32,177,57,26.8
968.3,1.26,0.5,3.4,146,0,34,186,56,26.7
967.1,1.26,0.4,3.9,150,0,36,196,56,26.7
966,1.26,0.3,3.9,156,0,38,205,58,26.7
964.9,1.26,0.3,3.9,153,0,40,215,56,26.7
963.8,1.26,0.2,4.3,155,0,42,224,56,26.7
962.6,1.26,0.1,4.4,161,0,44,233,56,26.7
961.5,1.26,0,4.3,163,0,46,243,56,26.7
960.4,1.26,-0.1,4.5,161,0,48,252,53,26.7
959.3,1.26,-0.1,4.8,163,0,50,262,53,26.7
958.2,1.26,-0.3,4.8,165,0,52,271,53,26.7
957,1.25,-0.3,4.7,165,0,54,281,53,26.7
955.9,1.25,-0.4,5,164,0,56,290,54,26.7
954.8,1.25,-0.5,5.2,167,0,58,299,54,26.7
953.7,1.25,-0.6,5.2,169,0,60,309,54,26.7
952.6,1.25,-0.7,5.1,169,0,62,318,54,26.7
951.5,1.24,-0.8,5.1,167,0,64,327,54,26.7
950.4,1.24,-0.9,5.1,165,0,66,337,55,26.7
949.3,1.24,-1,5.3,163,0,68,346,55,26.7
948.2,1.24,-1.1,5.5,165,0,70,356,55,26.7
947.1,1.24,-1.2,5.5,169,0,72,365,55,26.7
946,1.24,-1.2,5.3,171,0,74,374,56,26.7
944.9,1.24,-1.3,5.1,170,0,76,384,56,26.7
943.8,1.24,-1.4,5.1,167,0,78,393,56,26.7
