* SOFTWARE: JMA_SNDANA Ver.1.2
* Ground equipment: Meisei
* Sampling interval: 1 second
* Smoothing method: Median filter 9 samples
* Amount of cathode solution: 3.0ml
* Concentration of cathode solution: 0.5%KI + half buffer + half KBr
* Background current correction: Pressure dependent
* Pump efficiency: Individually determined for each ozone instrument
* Balloon weight: 2000g
* Tropopause: 300.3hPa

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-02-25,JMA,1.0,Head of Ozone Layer Monitoring Center

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,101,SYOWA,JPN,89532

#INSTRUMENT
Name,Model,Number
ECC,1Z,1Z29184

#LOCATION
Latitude,Longitude,Height
-69.01,39.58,22

#TIMESTAMP
UTCOffset,Date,Time
+03:00:00,2016-02-12,15:46:09

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
253.3,2,279.1,-0.949,265,0,0,Dobson,119

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS-06G(E),,0.04,29.29,Pressure_ib2,Pump,

#PUMP_CORRECTION
Pressure,Correction
1000,1.000
500,1.006
300,1.011
200,1.015
100,1.026
50,1.042
30,1.060
20,1.080
10,1.130
5,1.218
3,1.329

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
981.5,1.63,-3.3,3.1,170,2,0,18,65,23.3
981.1,1.66,-3.1,3.6,174,0,2,21,53,23.3
980.7,1.65,-3.7,4.2,178,0,4,24,53,23.3
980.3,1.65,-4.6,4.7,181,0,6,28,52,23.3
979.9,1.67,-4.6,5.3,185,0,8,31,52,23.3
979.5,1.67,-4.6,5.8,189,0,10,34,53,23.3
978.4,1.65,-4.7,5,180,0,12,43,53,23.3
977.3,1.65,-4.9,4.1,172,0,14,52,53,23.3
976.2,1.65,-5,3.2,169,0,16,61,54,23.3
975,1.65,-5.1,3,161,0,18,71,55,23.3
973.8,1.66,-5.1,3.1,161,0,20,80,55,23.3
972.6,1.66,-5,3,163,0,22,90,59,23.3
971.3,1.68,-5.1,2.8,158,0,24,101,59,23.3
970,1.68,-5.1,2.7,148,0,26,111,59,23.3
968.7,1.68,-5.5,2.6,143,0,28,121,57,23.3
967.5,1.68,-5.5,2.6,144,0,30,132,55,23.3
966.2,1.68,-5.6,2.9,146,0,32,142,54,23.3
964.9,1.67,-5.7,3.1,141,0,34,152,53,23.3
963.7,1.68,-5.8,2.8,138,0,36,163,55,23.3
962.4,1.66,-5.7,2.5,143,0,38,173,55,23.3
961.1,1.66,-6.1,2.5,150,0,40,184,60,23.3
959.8,1.66,-6.1,2.7,150,0,42,194,61,23.3
958.5,1.66,-6.2,2.6,147,0,44,205,61,23.3
957.1,1.66,-6.3,2.5,149,0,46,216,62,23.3
955.8,1.66,-6.2,2.5,152,0,48,227,56,23.3
954.5,1.66,-6.1,2.4,152,0,50,237,52,23.3
953.2,1.66,-6.1,2.4,153,0,52,248,52,23.4
951.8,1.66,-6.1,2.3,150,0,54,259,52,23.4
950.5,1.62,-6.1,2.1,148,0,56,270,52,23.4
949.3,1.6,-6.3,1.8,149,0,58,281,53,23.4
948,1.6,-6.3,1.6,151,0,60,291,53,23.4
946.7,1.6,-6.2,1.6,148,0,62,302,55,23.4
945.5,1.59,-6.3,1.7,145,0,64,312,56,23.4
944.2,1.58,-6.3,1.6,143,0,66,322,57,23.4
943,1.57,-6.5,1.5,143,0,68,332,57,23.4
941.8,1.57,-6.5,1.4,144,0,70,342,58,23.4
940.6,1.55,-6.7,1.3,143,0,72,352,58,23.4
939.4,1.55,-6.7,1.3,138,0,74,363,58,23.4
938.2,1.54,-6.8,1.3,131,0,76,373,59,23.4
937,1.55,-6.9,1.3,129,0,78,383,59,23.4
935.8,1.55,-6.9,1.2,133,0,80,393,60,23.4
934.6,1.56,-7.1,1.2,140,0,82,403,60,23.4
933.4,1.56,-7.1,1.4,143,0,84,413,61,23.4
932.2,1.56,-7.2,1.5,142,0,86,423,61,23.4
931,1.55,-7.2,1.6,139,0,88,434,61,23.4
929.8,1.54,-7.3,1.6,138,0,90,444,61,23.4
928.6,1.52,-7.5,1.5,142,0,92,454,61,23.4
926.8,1.51,-7.6,1.7,153,0,94,469,61,23.4
925.6,1.51,-7.7,1.8,156,0,96,478,61,23.4
925,1.51,-7.6,1.9,155,2,,483,61,23.4
925,1.51,-7.6,1.9,155,0,98,483,61,23.4
923.9,1.49,-7.5,1.9,153,0,100,493,61,23.4
922.7,1.49,-7.6,1.8,150,0,102,503,61,23.4
921.6,1.51,-7.8,1.8,146,0,104,513,62,23.4
920.4,1.49,-7.8,2,143,0,106,522,62,23.4
919.3,1.48,-7.9,2.2,141,0,108,532,62,23.4
918.2,1.48,-8,2.1,141,0,110,541,62,23.4
917.1,1.48,-8,2.2,142,0,112,551,61,23.3
915.9,1.47,-8.1,2.3,142,0,114,561,61,23.3
914.8,1.46,-8.2,2.5,143,0,116,570,61,23.3
913.7,1.46,-8.3,2.6,142,0,118,580,62,23.3
912.6,1.45,-8.4,2.7,138,0,120,589,62,23.3
911.5,1.45,-8.5,2.7,136,0,122,598,61,23.3
910.4,1.44,-8.3,2.7,136,0,124,608,59,23.3
909.2,1.44,-8.5,2.6,139,0,126,618,59,23.3
908,1.44,-8.5,2.7,140,0,128,627,57,23.3
