* SOFTWARE: JMA_SNDANA Ver.1.2
* Ground equipment: Meisei
* Sampling interval: 1 second
* Smoothing method: Median filter 9 samples
* Amount of cathode solution: 3.0ml
* Concentration of cathode solution: 0.5%KI + half buffer + half KBr
* Background current correction: Pressure dependent
* Pump efficiency: Individually determined for each ozone instrument
* Balloon weight: 2000g
* Tropopause: 280.6hPa

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-03-03,JMA,1.0,Head of Ozone Layer Monitoring Center

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,101,SYOWA,JPN,89532

#INSTRUMENT
Name,Model,Number
ECC,1Z,1Z29185

#LOCATION
Latitude,Longitude,Height
-69.01,39.58,22

#TIMESTAMP
UTCOffset,Date,Time
+03:00:00,2016-02-21,15:35:49

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.3,2,280.6,-0.987,277,0,9,Dobson,119

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS-06G(E),,0.02,28.30,Pressure_ib2,Pump,

#PUMP_CORRECTION
Pressure,Correction
1000,1.000
500,1.005
300,1.009
200,1.013
100,1.023
50,1.038
30,1.056
20,1.075
10,1.126
5,1.217
3,1.337

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
975.6,1.35,-0.4,4.6,180,2,0,18,77,25.3
974.8,1.35,-0.8,3.2,357,0,2,25,74,25.3
973.9,1.37,-0.9,1.8,351,0,4,32,74,25.3
973,1.39,-1.1,0.6,315,0,6,40,73,25.3
972.1,1.39,-1.4,1.1,211,0,8,47,72,25.3
971.1,1.39,-1.7,2.5,197,0,10,55,71,25.3
970.2,1.39,-1.7,3.8,193,0,12,63,71,25.3
969.2,1.38,-1.7,5.2,191,0,14,71,71,25.3
968.3,1.38,-1.8,6.6,190,0,16,78,71,25.3
967.2,1.37,-1.8,7.6,187,0,18,87,72,25.3
966.1,1.36,-2.3,7.7,182,0,20,96,73,25.3
965,1.36,-2.3,7.7,180,0,22,105,77,25.3
964,1.35,-2.1,7.7,181,0,24,114,72,25.3
963.2,1.35,-2,7.8,182,0,26,121,69,25.3
962.3,1.35,-1.8,8.1,180,0,28,128,66,25.3
961.1,1.35,-2,8.2,180,0,30,137,65,25.3
960,1.36,-1.9,7.9,180,0,32,147,64,25.3
958.9,1.36,-1.9,7.9,177,0,34,156,63,25.3
957.7,1.36,-1.7,7.9,178,0,36,166,62,25.3
956.6,1.36,-1.7,7.8,179,0,38,175,60,25.3
955.4,1.36,-1.6,7.5,178,0,40,185,60,25.3
954.3,1.37,-1.7,7.1,176,0,42,194,60,25.3
953.1,1.37,-1.9,6.9,173,0,44,204,60,25.3
951.9,1.37,-1.9,6.8,172,0,46,214,59,25.3
950.8,1.37,-1.9,6.4,172,0,48,223,59,25.3
949.6,1.36,-1.8,6,172,0,50,233,57,25.3
948.4,1.34,-1.8,6,171,0,52,243,57,25.3
947.2,1.34,-1.9,5.9,168,0,54,253,56,25.3
946.1,1.34,-2,5.5,165,0,56,263,57,25.3
944.9,1.35,-2.1,5.2,165,0,58,272,56,25.3
943.8,1.37,-2.2,4.9,168,0,60,282,56,25.3
942.6,1.37,-2.3,4.8,169,0,62,292,56,25.3
941.5,1.37,-2.3,4.6,168,0,64,302,56,25.3
